ID,R,G,B
40,128,0,0
41,32,178,170
42,139,0,139
43,245,222,179
44,220,20,60
45,138,43,226
46,245,255,250
47,70,130,180
48,219,112,147
49,255,127,80
50,255,182,193
51,210,105,30
52,0,255,255
53,221,160,221
54,205,92,92
55,216,191,216
56,0,139,139
57,255,140,0
58,184,134,11
59,255,218,185
60,178,34,34
61,0,0,0
62,240,255,240
63,245,245,245
64,30,144,255
65,240,128,128
66,0,250,154
67,75,0,130
68,112,128,144
69,255,69,0
70,255,192,203
71,255,215,0
72,100,149,237
73,128,128,0
74,238,232,170
75,135,206,250
76,189,183,107
77,255,255,0
78,72,209,204
79,154,205,50
80,25,25,112
81,0,100,0
82,250,235,215
83,255,20,147
84,173,255,47
85,224,255,255
86,152,251,152
87,147,112,219
88,139,69,19
89,220,220,220
